symbol,setup_type,d_minus_2,signal_day,trade_day,d2_open,d2_close,d1_open,d1_close,d1_body_abs,d1_range,bars_trade_day
5m_data,FRD,2018-02-20,2018-02-21,2018-02-22,6783.1,6785.9,6789.6,6765.4,24.200000000000728,122.19999999999982,261
5m_data,FGD,2018-02-21,2018-02-22,2018-02-23,6789.6,6765.4,6755.1,6768.7,13.599999999999454,135.5,261
5m_data,FRD,2018-02-26,2018-02-27,2018-02-28,6920.1,6996.0,7004.9,6908.2,96.69999999999982,103.5,261
5m_data,FGD,2018-03-01,2018-03-02,2018-03-05,6880.7,6754.5,6764.8,6814.6,49.80000000000018,177.5,261
5m_data,FRD,2018-03-12,2018-03-13,2018-03-14,7121.7,7140.1,7141.0,7051.0,90.0,163.69999999999982,261
5m_data,FGD,2018-03-14,2018-03-15,2018-03-16,7047.3,7040.8,7049.2,7056.4,7.199999999999818,72.29999999999927,261
5m_data,FRD,2018-03-15,2018-03-16,2018-03-19,7049.2,7056.4,7057.5,7025.2,32.30000000000018,51.19999999999982,261
5m_data,FGD,2018-03-19,2018-03-20,2018-03-21,7018.3,6897.6,6882.0,6901.3,19.300000000000182,64.69999999999982,261
5m_data,FRD,2018-03-20,2018-03-21,2018-03-22,6882.0,6901.3,6890.6,6866.6,24.0,107.89999999999964,261
5m_data,FGD,2018-03-23,2018-03-26,2018-03-27,6656.6,6533.0,6533.4,6762.8,229.40000000000055,253.80000000000018,275
5m_data,FRD,2018-03-26,2018-03-27,2018-03-28,6533.4,6762.8,6759.5,6534.4,225.10000000000036,359.10000000000036,276
5m_data,FGD,2018-03-28,2018-03-29,2018-04-02,6535.9,6475.1,6475.1,6556.8,81.69999999999982,209.5,275
5m_data,FRD,2018-03-29,2018-04-02,2018-04-03,6475.1,6556.8,6543.8,6402.0,141.80000000000018,260.6999999999998,275
5m_data,FGD,2018-04-02,2018-04-03,2018-04-04,6543.8,6402.0,6393.5,6461.8,68.30000000000018,145.59999999999945,275
5m_data,FRD,2018-04-05,2018-04-06,2018-04-09,6574.0,6596.7,6594.5,6445.7,148.80000000000018,200.90000000000055,275
5m_data,FGD,2018-04-06,2018-04-09,2018-04-10,6594.5,6445.7,6453.4,6484.2,30.800000000000182,157.30000000000018,274
5m_data,FRD,2018-04-10,2018-04-11,2018-04-12,6479.9,6617.0,6616.7,6587.2,29.5,101.59999999999945,274
5m_data,FGD,2018-04-11,2018-04-12,2018-04-13,6616.7,6587.2,6588.0,6665.6,77.60000000000036,99.10000000000036,272
5m_data,FRD,2018-04-12,2018-04-13,2018-04-16,6588.0,6665.6,6659.6,6635.0,24.600000000000364,101.60000000000036,273
5m_data,FGD,2018-04-13,2018-04-16,2018-04-17,6659.6,6635.0,6674.4,6701.9,27.5,73.59999999999945,267
5m_data,FRD,2018-04-18,2018-04-19,2018-04-20,6812.2,6842.2,6850.0,6774.4,75.60000000000036,110.80000000000018,274
5m_data,FGD,2018-04-24,2018-04-25,2018-04-26,6656.6,6524.4,6522.1,6569.6,47.5,146.60000000000036,274
5m_data,FRD,2018-04-26,2018-04-27,2018-04-30,6581.0,6741.3,6741.9,6669.7,72.19999999999982,149.0,269
5m_data,FGD,2018-04-30,2018-05-01,2018-05-02,6661.8,6603.8,6608.3,6715.3,107.0,160.60000000000036,275
5m_data,FRD,2018-05-01,2018-05-02,2018-05-03,6608.3,6715.3,6711.5,6627.0,84.5,104.19999999999982,274
5m_data,FGD,2018-05-02,2018-05-03,2018-05-04,6711.5,6627.0,6627.0,6666.0,39.0,132.0,274
5m_data,FRD,2018-05-14,2018-05-15,2018-05-16,6953.4,6964.8,6962.6,6888.3,74.30000000000018,122.0,274
5m_data,FGD,2018-05-15,2018-05-16,2018-05-17,6962.6,6888.3,6886.8,6928.9,42.099999999999454,77.59999999999945,274
5m_data,FRD,2018-05-16,2018-05-17,2018-05-18,6886.8,6928.9,6927.7,6899.4,28.300000000000182,86.5,275
5m_data,FGD,2018-05-22,2018-05-23,2018-05-24,6906.7,6903.4,6900.3,6952.6,52.30000000000018,131.80000000000018,271
5m_data,FRD,2018-05-28,2018-05-29,2018-05-30,6980.5,6990.5,6986.0,6945.6,40.399999999999636,104.29999999999927,274
5m_data,FGD,2018-05-29,2018-05-30,2018-05-31,6986.0,6945.6,6944.1,6981.3,37.19999999999982,76.0,274
5m_data,FRD,2018-06-06,2018-06-07,2018-06-08,7181.1,7219.1,7215.3,7161.9,53.400000000000546,117.29999999999927,274
5m_data,FGD,2018-06-08,2018-06-11,2018-06-12,7158.3,7149.3,7125.3,7166.5,41.19999999999982,65.19999999999982,274
5m_data,FRD,2018-06-12,2018-06-13,2018-06-14,7166.1,7220.4,7217.3,7210.1,7.199999999999818,70.80000000000018,274
5m_data,FGD,2018-06-13,2018-06-14,2018-06-15,7217.3,7210.1,7204.0,7288.2,84.19999999999982,115.59999999999945,274
5m_data,FRD,2018-06-14,2018-06-15,2018-06-18,7204.0,7288.2,7284.6,7255.9,28.700000000000728,73.0,274
